latitude,longitude
49.1782565 , 6.892056
48.1026544 , 7.4635792
47.0184689 , 4.8551284
47.0932842 , 5.4822375
50.6382037 , 3.0625135
45.1549567 , 1.533245
43.5494268 , 1.5370583
47.3926511 , 0.6877586
45.7517024 , 4.8527168
48.8432228 , 2.6160248
43.1353004 , 5.983114
48.937475 , 2.357962
43.3042049 , 5.4122258
49.2864397 , 0.1865633
47.2157051 , 5.9469607
43.8381606 , 4.3582705
47.9019797 , 1.8980927
48.6991265 , 6.21034
45.7619045 , 3.1291128
47.6351518 , 7.4762796
47.5749942 , 7.525203
48.8807961 , 2.3742721
45.8313109 , 1.2602983
48.5887891 , 2.2491573
48.6760149 , 2.173936629282869
48.936794 , 2.3517267
49.1180484 , 7.0846382
47.3565679 , -0.447381
47.2105839 , -0.7217854
47.4735459 , -0.5444457
47.6308423 , 7.1156968
49.4418034 , 6.3547582
48.8678402 , 7.4785958
45.9010753 , 5.190208
47.7350679 , 7.3087162
43.69863335 , 1.8146015310769232
49.220241 , 6.211778
48.7646113 , 0.6270363
46.91608 , 6.3091886
48.8280568 , 7.9674983
48.3911996 , 4.527722
47.7941047 , -1.0554673
47.6249696 , 7.2422682
42.6989208 , 2.8934925
46.9647646 , -0.8870107
45.8798079 , 1.2383623
43.726869 , -1.0757803
48.7428095 , 7.359919
45.7324633 , 4.9951533
48.800994 , 2.431612
48.6890724 , 6.1838613
47.950957349999996 , -0.5522186519873895
48.8097085 , 6.7209951
47.8225258 , -0.687796
47.6033386 , 6.8630621
48.3459285 , 6.6351494
45.7565384 , 4.7980974
47.5654169 , -1.6262545
45.2885129 , 4.1677002
43.5182625 , 1.5475494
44.3605475 , 2.5558639
49.1561765 , 5.884186115945302
48.8431413 , 7.6029974
45.4802605 , 4.432656755723443
48.0846396 , 7.3664951
47.4189402 , 0.6842127
47.0077357 , -0.747671
48.1401102 , 7.2581383
47.3516601 , 0.682609
47.6767211 , 7.2676922
47.3932967 , 0.6886775
48.6226226 , 6.1096472
47.4667326 , -0.557454
48.7600223 , 6.1334073
43.331149 , 5.3894893
47.0773435 , 5.4141396
47.26112415 , -1.6634123307420503
49.302812 , 6.104939
48.5668839 , 7.7727717
46.8724823 , 6.3825484
47.182546 , 5.813284
43.6123063 , 1.3304394
47.3922656 , 0.726777
45.6079735 , 4.0879553
47.6827562 , -0.8700219
48.7306637 , 7.7089956
47.6854594 , 7.3946431
47.6080257 , 7.5692267
48.8579561 , 2.4350555
43.6516938 , 6.9444986
45.8324435 , 4.0149089
44.3502474 , 2.5710737
47.7598773 , 7.2941231
48.6178493 , 6.351942
48.8981211 , 7.9118152
47.6798399 , 7.5008984
48.891623 , 5.5407374
48.0719352 , 7.293385
49.1962495 , 6.6845669
48.7050382 , 6.2210537
49.222022 , 6.637827
48.558677 , 7.6875367
48.248287 , 6.4223947
48.753982 , 7.5992402
48.5263546 , 5.8966118
45.6049 , 4.0678197
47.5427355 , -0.1053863
47.531777 , 7.3404359
48.7671605 , 7.259588511718748
45.4177585 , 4.6812716
48.0791002 , 7.3616704
47.752202 , 7.3469736
48.0029037 , 0.1970088
48.8345093 , 2.2428722
48.6806864 , 6.1988077
45.5859937 , 4.7714243
47.7014585 , -0.0645123
48.8464847 , 2.4112963
48.8451299 , 2.319555
48.9988369 , 7.0284684
45.7241896 , 5.2513948
47.6223097 , 7.235433
47.8047364 , 7.2375997
50.7319338 , 2.7311784
48.9404321 , 7.186734
43.3507134 , 1.4789503
50.4838244 , 2.4104759
46.9953871 , -0.8932434
47.8332219 , -0.7149869
47.8865877 , 7.2318737
45.7635863 , 4.8356778
43.83329755 , 4.351940397062142
50.3592584 , 3.5227209
48.7573624 , 7.5692333
48.0712559 , 7.3609365
47.7813296 , 7.3480157
47.7434772 , 7.3653313
48.89061 , 2.375817
48.876193 , 2.449068
48.8940611 , 2.276556
48.070399 , -0.765836
48.9331415 , 7.7487163
48.5500278 , -0.423902
48.9507693 , 7.6438607
48.8785701 , 2.3268262
47.4528211 , -0.5259721
48.8921755 , 2.3791102
43.6046217 , 2.2441494
50.6768932 , 3.0913651
48.0687565 , -0.7610775
43.6792163 , 1.4225325
43.6106704 , 1.3395145
48.8754063 , 2.3822817
47.3518369 , -0.7605298
49.445501 , 5.6007466
48.8257314 , 2.3133074
48.0834465 , 7.3497368
47.1925642 , -0.2760495
42.6935513 , 2.8878642
48.6037474 , 2.4681424
44.0172502 , 1.3568448
47.2238119 , -1.5716577
47.8084967 , 7.337483
46.3151114 , 4.8364145
43.1807842 , 3.0099363
43.7303564 , 7.4170116
43.2108035 , 2.449023
43.83971115 , 4.318715923902397
47.6737545 , -2.0643614
43.5395776 , -1.4611595
47.7576076 , 7.3400541
48.8576553 , 2.4217933
48.8271826 , 2.3683918
48.8649351 , 2.3967804
43.3659235 , 5.3568657
43.1078111 , 0.7162122
44.8468627 , -0.5176034
47.1218306 , -2.1128123
50.4514228 , 3.5925186
45.9191823 , 6.7060702
43.9226178 , 2.1419975
46.5659827 , 0.3588523
48.8978277 , 2.5628639
49.112223 , 2.2188283
48.3842249 , 2.9541639
48.72938 , 4.5888558
47.986134 , 0.2237269
43.6596425 , 3.9056547
44.034644 , 4.9992963
45.7267765 , 3.1878316
45.0559163 , 3.900834
44.0115017 , 1.3729761
44.0114391 , 1.3721285
50.6684076 , 3.0768029
43.538142 , 6.4582509
48.8372776 , 2.2414258
43.602504 , 7.118209
41.9358405 , 8.753544
48.8226982 , 2.3249203
48.927236 , 2.3774016
43.2112328 , 2.360537
48.6486049 , 2.4067723
43.4924896 , 4.9700071
48.87775 , 2.459852
46.249924 , 5.644958
50.7198472 , 3.1385026
43.4566509 , 5.4783835
48.6950885 , 2.2983545
43.7216321 , 7.2751781
48.8569563 , 2.3977226
46.9737189 , 1.610902
43.3468434 , 5.4629723
48.4946058 , -2.7291469
43.2039295 , 0.0971394
44.632728 , -1.1456291
44.8325951 , -0.6536996
45.6208806 , 5.2223613
49.232948 , 6.167764
43.3227561 , -0.3709143
42.6949329 , 2.8734115
48.5498483 , 7.7529568
45.80366775 , 4.857438026687692
46.9543835 , 4.2945718
49.8931498 , 2.297736
48.8098831 , 2.4442415
49.042381 , 3.403833
43.29588715 , 5.443580300568296
45.5356423 , 5.6711949
45.750949 , 5.1756126
47.3997885 , 2.9249131
50.4098641 , 2.9435855
50.4171821 , 1.6399268
46.3208098 , 4.8162442
46.3627391 , 6.4614617
46.195684 , 6.2538485
48.8872039 , 2.351214
49.6167205 , 0.7562638
48.266153 , 2.6963008
48.1932874 , 6.4533544
48.6977548 , 2.5247196
48.7539117 , 2.3030478
48.7541845 , 2.3017069
49.0058082 , 0.1489739
48.6029155 , 2.8964964
50.9559934 , 1.8658133
45.1884304 , 5.7143182
47.7402545 , 7.2921636
49.8932298 , 2.2850118
43.3512782 , 1.4702638
49.3173841 , 6.1173244
49.022763 , 0.4060521
50.1845245 , 3.255980937500003
45.0474314 , 5.0756233
48.68851 , 5.890659
48.3800239 , -4.5337447
45.7474133 , 4.7232541
48.9059314 , 2.4408681
49.11897295 , 6.893958375866168
48.9777578 , 2.3778549
44.2028423 , -1.2301934
48.9241525 , 2.4629756
48.8315795 , 2.3147036
44.650725 , -0.9393385
48.8654864 , 1.4203477
44.994502 , -0.441706007613781
44.548937 , -0.8663446
48.7641289 , 2.4049404
45.7781349 , 4.9196594
45.8185593 , 5.4053102
49.143573849999996 , 0.2545684159115702
48.9469146 , 2.5630965
50.4540903 , 3.4298185
44.6823112 , -1.0090939
48.5482618 , 2.6742639
43.216384 , 2.3531057
43.3659235 , 5.3568657
48.9891033 , 2.2592625
46.5692488 , 0.6396559
48.8852098 , 2.3800462
48.9658502 , 2.2545172
44.5759493 , 2.0810119
49.1269176 , -0.164632
48.9306227 , 2.4935602
44.8110753 , -0.7785313
42.7249559 , 2.8871411
48.4899695 , 2.1891272610434287
45.1587932 , 5.7202106
45.2554274 , 1.4141304
49.0329896 , 3.3777431
49.28909 , -0.7107087500000017
49.5295297 , 0.3585261
50.6814781 , 3.2242486
47.5736132 , 1.3725202
47.4299394 , 1.4342594
48.924087 , 2.2519733
48.8116134 , 2.3854184
48.3236491 , 0.8162878
43.9527179 , 0.3709867
48.5110767 , 3.7156789
49.1494712 , 0.9033016
49.4699643 , -1.6336294
45.6118243 , 5.1563208
50.602877 , 3.0558389
43.1031381 , 1.6285222
45.9651083 , 5.3383255
48.2000747 , 6.7256247
43.5979469 , 1.4322416
48.0443831 , -1.6057071
45.7287481 , 4.8663365
47.8899529 , -4.0142922
48.8389689 , 2.2828942
48.9539219 , 4.3338042
47.1657794 , 0.24534157064131795
48.676037 , -1.3549015
49.0913032 , 1.4846513
49.1601513 , -0.3431492
49.0066693 , 2.261763
49.1957744 , 0.7182308
49.191287 , 6.004679
49.5510098 , 0.4901208
43.6096712 , 1.4954744
44.9853778 , 4.580901
46.146723449999996 , 6.410366135504882
47.4677149 , -0.5243964
47.3869446 , 0.6594576
47.3217582 , 5.0398458
47.8717074 , -3.5482974
45.4752868 , 4.5087212
45.4740575 , 4.5132748
49.2505758 , 6.1690504
45.7476462 , 4.8435126
48.87765605 , 2.0979879354540687
44.1619702 , 1.5380568
48.7779353 , 2.4692568
48.8469248 , 2.2861641
46.1791961 , 5.3217761
43.3282198 , 5.3977467
47.0803007 , 5.4621484
45.4163869 , 4.39345
47.2412313 , -1.6088523
49.2553391 , 4.027445
48.6846599 , 6.2135496
47.9153388 , -3.3354847
48.7675355 , 7.258294553963111
49.237586 , 6.168786
42.5510989 , 2.9650449368879315
48.8498918 , 2.3841506
48.8480683 , 2.2626834
48.8738242 , 2.3856872
49.760106 , 0.368946
49.2777946 , 1.0418021
48.6321346 , 2.5518240965571373
48.8101817 , 2.1340387
46.417511250000004 , -0.20334008961232103
50.0991932 , 1.8581528
46.5742946 , 0.3740878
45.8382382 , 1.4917009
48.9063406 , 2.2836105
46.204104 , 5.241063
49.3301581 , 6.0593323
45.90720505 , 6.135268771130951
49.0482067 , 6.5942423
48.740926900000005 , -0.5618930055609961
50.754646 , 2.2412553
45.567794899999996 , 5.438152748184179
48.4292692 , 7.6578755
48.6846172 , 5.3244658
48.0651137 , 7.364072
44.8116116 , 4.7883772
